מספר השאלה										
	תיאור אירוע	שאלת טריגר	סעיף טריגר 	שנה	תשובות	ניקוד כסף	ניקוד פליטות	איכות חיים	איזור	קטגוריה
1	6% מפליטות גזי החממה בישראל מקורן בבזבוז מזון - ייצור, שינוע והטמנת פסולת. אם לא נפעל עכשיו האחוזים ימשיכו לגדול בכל שנה!			2022	״שלם כמו שאתה זורק״ - מס מבוסס משקל האשפה	-2	-3	-3	נגב צפוני	חקלאות
					פיתוח אמצעים לשמירה ארוכת טווח של מצרכים	-5	-3	0		
					קמפיין להעלאת מודעות וחסכון בבית	-1	-2	0		
2	גל חום קשה מאוד פוגע ביבולי הקיץ ברמת הגולן. כעת יש מחסור בפירות וירקות ארצי, הגורם להפגנות המוניות! 			2023	יבוא מידי מחו״ל	-2	(+2)	0	רמת הגולן	חקלאות
					השוק יעשה את שלו. המחירים יעלו בגלל הפער בין ההיצע לביקוש	0	0	-1		
					השקת תוכנית חומש שתקדם עמידות של יבולים בתנאי חום קשים	-3	-2	0		
3	גידול בקר גורם לנזק סביבתי בלתי הפיך. זאת בעקבות פליטות גז מתאן - המחמם במהירות מירבית את האטמוספרה ובירוא יערות גשם לצורך הגדלת שטחי מרעה. צריכת הבשר בישראל במגמת עליה.			2022	כפיית צמחונות על כל תושבי המדינה	(-3)	-5	-5	גליל	חקלאות
					אעלה מס על מחיר הבשר	(+3)	-4	-3		
					אשקיע בפתרונות חדשניים ליצור בשר מתורבת	-4	-5	(+1)		
4	תהליך ייבוא מזון מייצר עודף פליטות גזי חממה. אוניות, מטוסים ומשאיות משמשות תעשיות ייבוא בכל הארץ ומונעות על ידי דלקים מזהמים.	2	1	2024	אאסור ייבוא מוצרי מזון	(-1)	-3	-3	חיפה וכרמל	חקלאות
					אעלה מס על ייבוא מזון 	(+2)	-1	-1		
					כלום. אין ברירה חייבים לייבא כדי לעמוד בביקוש של כלל התושבים	(+2)	(+3)	0		
5	מבול פתאומי וחזק מתחיל, מערכת הביוב לא מצליחה להכיל את כמויות המים והצפה חמורה החלה. הרחובות מוצפים והשבתה של בתי ספר, מקומות עבודה ומקומות ציבוריים מתחילה.			2025	אשקיע בפיתוח טכנולוגיות להתמודדות עם ניקוז מים בצורה מהירה ויעילה	-4	0	0	מישור החוף	בנייה ותכנון עירוני
					מיד אשלם את הנזקים, אדאג לתושבים שקורתם נפגעה	-5	0	(+1)		
					אשתמש בכל דרך אפשרית לנקז את המים	-5	(+2)	-1		
6	כל כך חם ברחובות שאנשים כבר לא הולכים ברגל. ילדים לא יכולים לשחק בחוץ בשעות היום. יש לחץ ציבורי רב.			2026	אתקין אמצעי קירור עצומים במרחב הציבורי. חלופה זה דורשת תקצוב מדיני אדיר	-5	(+4)	(+3)	מישור החוף	בנייה ותכנון עירוני
					אנטע עצים, להגביר את רמת הצל ולאזן את אקלים הרחוב	-1	-4	(+3)		
					אתקין מזרקות מים ברחובות בכדי שאנשים יוכלו להתקרר 	-4	(+3)	(+2)		
7	גל חום היסטורי! אחוזי הלחות הם מעל ל80% במישור החוף והטמפ׳ חצתה את סף ה-50 מעלות בצל. תשתיות החשמל קרסו ותושבים מתים מחום.			2035	אטיל על שר הפנים וכל רשויות התכנון משימת חירום - לתכנן ולממש מחדש את ערי ישראל כך שיתאימו להתמודדות עם גלי החום שיגיעו	-4	-2	(+4)	מישור החוף	בנייה ותכנון עירוני
					אבנה "מקלטי חום ניידים" -  אוהלי ענק ממוזגים שבהם התושבים יוכלו להתגורר עד יעבור זעם	-2	0	(+2)		
					אקדם תוכנית לפינוי תושבי המרכז, עד שיעבור גל החום ויוכלו לשוב לבתיהם	-3	(+1)	(+1)		
8	אזורנו חשוף במיוחד לתהליך מידבור. התהליך מאופיין בירידה בכמויות משקעים, ירידה בפוריות האדמה, הידלדלות החי והצומח.			2026	אשקיע במחקר ופיתוח של טכנולוגיות שעוזרות להתמודד עם תנאי המדבר	-4	-1	0	נגב צפוני	בנייה ותכנון עירוני
					אמשיך לנטוע עצים מקומיים אשר משמרים את הקרקע, מונעים סחף, ויוצרים אקלים נוח יותר	-2	-5	(+3)		
					אבנה סכרים ומאגרי מים שיאפשרו לנו להמשיך ולקיים חקלאות סדירה באזור	-3	(+4)	(+1)		
9	בינואר 2020 הגשמים גרמו להצפות כבדות בנהריה, שגבו חיי אדם. המקרה הקשה הוביל ליישום תוכנית למניעת שטפונות, רק בנהריה.			2024	אתן תיקצוב לעיריות ואדרוש מהם לבנות בורות חלחול מי נגר ברחבי העיר	-4	(+1)	0	גליל	בנייה ותכנון עירוני
					אשקיע בפיתוח טכנולוגיה אשר חוזה משקעים באופן מדוייק. כך נוכל להתריע הרבה מראש ולמנוע מקרים של אובדן חיים	-5	0	(+1)		
										
10	מחלות רגישות אקלים כמו מלריה, כולרה, יתפשטו מהר יותר במזג אוויר חם ואירועי מזג אוויר קיצוני.			2028	אבצע קמפיינים של העלאת מודעות ומניעת המחלות	-2	0	(+1)	איזור ירושלים	כלכלה, תעשייה וחברה
					אמשיך להשקיע במעבר לאנרגיות מתחדשות	-5	-4	(+2)		
					אקדיש מתקציבי משרד הבריאות למחקר וניבוי התנהגות המחלות בעתיד	-5	0	(+3)		
11	שינויי האקלים יביאו איתם שנות בצורת: שפל קיצוני בכמויות המשקעים באזורנו במיוחד.			2028	מים תמורת שטח: השקעה בפתרונות התפלה מתקדמים, לטובת העברת מים למדינות שכנות בתמורה לשטחים פתוחים להתקנת פאנלים סולריים	-5	(+1)	0	ים המלח והערבה	כלכלה, תעשייה וחברה
					השקעה בטכנולוגיות לאגירת מי גשמים והתפלה שלהם	-4	(+3)	0		
					אבצע עסקאות מים עם מדינות עשירות במים	-3	(+4)	(+2)		
12	השפעות משבר האקלים מביא איתו איומים בטחוניים על תושבי האיזור. לרבות - מלחמות, פליטי אקלים, והשלכות הרסניות.			2029	אמשיך ואקדם מעבר לאנרגיות מתחדשות בכל הכוח, כדי למנוע את השלכות המשבר	-2	-4	0	רמת הגולן	כלכלה, תעשייה וחברה
					אפעל לטובת פורום אזורי שיקדם שיתוף פעולה בין מדינות שכנות	(+3)	(-4)	0		
					אגדיל את תקציב במשרד הביטחון. שייערך לאיומים אלה	-5	0	(+5)		
13	מהגרי אקלים ממדינות שונות מגיעים לישראל בשל לחצים אקלימיים שהופכים את תנאי המחייה באזורם לבלתי אפשריים.			2030	אחליט לחסום את שערי ישראל	0	(+1)	0	נגב דרומי	כלכלה, תעשייה וחברה
					אציע להשתתף תקציבית בקליטת מהגרים מדינות אחרות	-3	0	0		
					אין תחזית שהיקף התופעה משמעותית, אבחר שלא להשקיע בה	0	0	(-3)		
14	מה תהיה הדרך הטובה ביותר להתמודד עם משבר האקלים? 			2022	אקדם תוכנית ארצית לדלדול צריכת כמות המשאבים 	-2	-5	-4	איזור ירושלים	כלכלה, תעשייה וחברה
					מעבר לצמיחה כלכלית המבוססת על משאבים מתחדשים	-5	-5	(+5)		
					אתן לשוק לעשות את שלו, אין צורך במעורבות של גורם מדיני	0	(+5)	-5		
15	כיצד כדאי לממש את אסטרטגיית דלדול המשאבים?	14	1	2022	אצא בקמפיין רחב היקף לחיסכון בחשמל ואנרגיה	-2	-3	-1	איזור ירושלים	כלכלה, תעשייה וחברה
					אקדם חקיקת תקנות ״מס פחמן״ - מנגנון לתמחור פליטות פחמן	(+1)	-5	-1		
					אעלה את מחירי האנרגיה	(+2)	-5	-2		
16	כיצד כדאי לממש צמיחה ירוקה, המתבססת על משאבים מתחדשים?	14	2	2033	אשקיע במציאת פתרונות לאגירת אנרגיה	-4	-4	(+3)	איזור ירושלים	כלכלה, תעשייה וחברה
					אבטל את התמיכה הכלכלית בחברות הדלק, הנפט והגז באופן מיידי	-5	-5	(+3)		
